々	(kép)
弁	BIỆN/BIỀN
弃	KHÍ
弄	LỘNG
弉	TRÁNG
弊	TỆ
弋	DẶC
弌	NHẤT
弍	NHỊ
式	THỨC
弐	NHỊ
弑	THÍ/THÍCH
弓	CUNG
弔	ĐIẾU/ĐÍCH
引	DẪN
弗	PHẤT
弘	HOẰNG
弛	THỈ
弟	ĐỆ
弥	DI
弦	HUYỀN
弧	HỒ
弩	NỖ
弭	NHỊ
弯	LOAN
弱	NHƯỢC
張	TRƯƠNG
強	CƯỜNG
弸	BẰNG
弼	BẬT
弾	ĐÀN/ĐẠN
彁	CA
彈	ĐÀN/ĐẠN
彊	CƯỜNG
彌	DI
彎	LOAN
彑	KÝ
当	ĐƯƠNG
彖	THOÁN
彗	TUỆ
彙	VỰNG/VỊ/HỐI/HỘI
彜	DI
彝	DI
彡	SAM
形	HÌNH
彦	NGẠN
彩	THÁI/THẢI
彪	BƯU
彫	ĐIÊU
彬	BÂN
彭	BÀNH
彰	CHƯƠNG
影	ẢNH
彳	SÁCH
彷	BÀNG/PHẢNG
役	DỊCH
彼	BỈ
彿	PHẤT
往	VÃNG
征	CHINH
徂	TỒ
径	KÍNH
待	ĐÃI
徇	TUÂN
很	HẨN
徊	HỒI
律	LUẬT
後	HẬU
徐	TỪ
徑	KINH/KÍNH
徒	ĐỒ
従	TÙNG/TÒNG
得	ĐẮC
徘	BỒI
徙	SI/TỶ
從	TÙNG/TÒNG
徠	LAI
御	NGỰ
徨	HOÀNG
復	PHỤC
循	TUẦN
徭	DAO
微	VI
徳	ĐỨC
徴	TRƯNG
徹	TRIỆT
徼	KIỂU/KHIẾU
徽	HUY
心	TÂM
必	TẤT
忌	KỴ
忍	NHẪN
忖	THỔN
志	CHÍ
忘	VONG
忙	MANG
応	ỨNG
忝	THIỂM
忠	TRUNG
忤	NGỖ
快	KHOÁI
忱	THẦM
念	NIỆM
忸	NỮU
忻	HÂN
忽	HỐT
忿	PHẪN
怎	TRẨM/CHẪM
怏	ƯỞNG
怒	NỘ
怕	PHẠ
怖	BỐ
怙	HỘ
怛	ĐÁT
怜	LINH
思	TƯ
怠	ĐÃI
怡	DI
急	CẤP
怦	PHANH
性	TÍNH/TÁNH
怨	OÁN
怩	NY
怪	QUÁI
怫	PHẤT
怯	KHIẾP
恁	NHẬM
恂	TUÂN
恃	THỊ
恊	HIỆP
恋	LUYẾN
恍	HOẢNG
恐	KHỦNG
恒	HẰNG
恕	THƯ
恚	KHUỂ
恟	HUNG
恠	QUÁI
恢	KHÔI
恣	TƯ
恤	TUẤT
恥	SỈ
恨	HẬN
恩	ÂN
恪	KHÁC
